"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate","status"
"Port Macquarie-Hastings",23.573513,985,958,991,954,4.95582705760126,5.01727983681492,6.86066367144829,3.16012375123857,"Actual"
"Port Stephens",27.419102,982,952,1004,928,4.97673374242057,4.92725368515721,6.8330317327862,3.31123992378023,"Actual"
"Queanbeyan-Palerang Regional",13.547859,1061,1062,1061,1046,4.18965474202643,4.39444915467244,6.95272864462487,2.60622852746115,"Actual"
"Randwick",14.877952,1059,1113,995,1122,4.21950770517611,4.99043258677874,7.02286808608264,2.69988038552386,"Actual"
"Richmond Valley",45.212587,924,892,961,871,5.31320597904179,5.19849703126583,6.7696419768525,3.81137552152298,"Actual"
"Ryde",15.842728,1055,1099,1007,1120,4.27666611901606,4.90527477843843,7.02108396428914,2.76271059377996,"Actual"
"Shellharbour",23.372233,983,962,1014,928,4.969813299576,4.85203026391962,6.8330317327862,3.15154869383641,"Actual"
"Shoalhaven",36.910044,980,949,992,939,4.99043258677874,5.01063529409626,6.84481547920826,3.60848370913006,"Actual"
"Singleton",15.918835,998,965,1032,906,4.85981240436167,4.70048036579242,6.80903930604298,2.76750299934661,"Actual"
"Snowy Monaro Regional",23.797717,1020,991,1006,973,4.67282883446191,4.91265488573605,6.880384082186,3.16958965170664,"Actual"
"Strathfield",11.576624,1011,1066,961,1098,4.75359019110636,5.19849703126583,7.00124562206948,2.44898789250665,"Actual"
"Sutherland Shire",16.477065,1079,1090,1078,1064,3.87120101090789,4.15888308335967,6.96979066990159,2.80196941396039,"Actual"
"Sydney",8.2346761,1031,1126,887,1158,4.56434819146784,5.54126354515843,7.05444965813294,2.10835403073707,"Actual"
"Tamworth Regional",27.762501,961,937,976,923,5.11198778835654,5.11198778835654,6.82762923450285,3.32368622524036,"Actual"
"Temora",14.970337,972,939,980,924,5.04342511691925,5.08759633523238,6.82871207164168,2.7060707098682,"Actual"
"Tenterfield",20.689859,920,903,935,925,5.33271879326537,5.33271879326537,6.82979373751242,3.02964367684781,"Actual"
"The Hills Shire",12.081473,1098,1136,1132,1112,3.36729582998647,2.30258509299405,7.01391547481053,2.49167312215904,"Actual"
"Tweed",27.321265,989,967,995,960,4.92725368515721,4.99043258677874,6.86693328446188,3.30766533670531,"Actual"
"Upper Hunter Shire",26.620954,975,943,999,912,5.02388052084628,4.96284463025991,6.81563999007433,3.28169865004081,"Actual"
"Upper Lachlan Shire",21.792672,1022,995,1038,988,4.65396035015752,4.64439089914137,6.89568269774787,3.08157376649606,"Actual"
"Uralla",43.111585,990,963,1002,977,4.91998092582813,4.9416424226093,6.88448665204278,3.76379175449468,"Actual"
"Wagga Wagga",26.255036,989,971,988,970,4.92725368515721,5.03695260241363,6.87729607149743,3.26785781825628,"Actual"
"Walcha",24.993752,992,970,999,978,4.90527477843843,4.96284463025991,6.88550967003482,3.21862587363299,"Actual"
"Walgett",38.913029,888,896,899,928,5.47646355193151,5.49306144334055,6.8330317327862,3.6613291302786,"Actual"
"Warren",54.889491,962,952,973,955,5.10594547390058,5.12989871492307,6.86171134048073,4.00532190942717,"Actual"
"Warrumbungle Shire",40.945879,927,914,952,929,5.29831736654804,5.24702407216049,6.83410873881384,3.71225117031441,"Actual"
"Waverley",9.4829558,1092,1163,1009,1170,3.55534806148941,4.89034912822175,7.0647590277918,2.24949606091846,"Actual"
"Weddin",60.760375,961,942,978,951,5.11198778835654,5.0998664278242,6.85751406254539,4.10693784953209,"Actual"
"Wentworth",33.020883,974,949,989,941,5.03043792139244,5.03043792139244,6.84694313958538,3.49714017950331,"Actual"
"Willoughby",11.221279,1075,1142,1034,1162,3.95124371858143,4.68213122712422,7.05789793741186,2.41781188646773,"Actual"
"Wingecarribee",28.16263,1045,1031,1055,1020,4.40671924726425,4.46590811865458,6.92755790627832,3.33799592181517,"Actual"
"Wollondilly",12.843415,1041,1020,1093,960,4.45434729625351,3.89182029811063,6.86693328446188,2.55283122863129,"Actual"
"Wollongong",25.725467,1000,1000,993,999,4.84418708645859,5.00394630594546,6.90675477864855,3.24748143510247,"Actual"
"Woollahra",7.9228868,1110,1176,1043,1193,2.83321334405622,4.59511985013459,7.08422642209792,2.06975563436368,"Actual"
"Yass Valley",9.8411419,1065,1062,1094,1047,4.12713438504509,3.87120101090789,6.95368421087054,2.28657175107923,"Actual"
"Unincorporated NSW",37.634541,1046,1025,1034,1000,4.39444915467244,4.68213122712422,6.90775527898214,3.62792227231806,"Actual"
"Alpine",26.020945,1028,989,1006,993,4.59511985013459,4.91265488573605,6.90073066404517,3.25890179064163,"Actual"
